,red,green,blue,infrated
0,14.0,20.0,19.0,7.0
1,14.0,20.0,19.0,7.0
2,14.0,20.0,19.0,7.0
3,14.0,20.0,19.0,7.0
4,14.0,20.0,19.0,7.0
5,14.0,20.0,19.0,7.0
6,13.857142857142858,19.857142857142858,18.857142857142858,7.0
7,13.75,19.75,18.75,7.0
8,13.666666666666666,19.666666666666668,18.666666666666668,7.0
9,13.6,19.6,18.6,7.0
10,13.545454545454545,19.545454545454547,18.545454545454547,7.0
11,13.5,19.5,18.5,7.0
12,13.461538461538462,19.46153846153846,18.46153846153846,7.0
13,13.428571428571429,19.428571428571427,18.428571428571427,7.0
14,13.4,19.4,18.4,7.0
15,13.375,19.375,18.375,7.0
16,13.352941176470589,19.352941176470587,18.352941176470587,7.0
17,13.333333333333334,19.333333333333332,18.333333333333332,7.0
18,13.31578947368421,19.31578947368421,18.31578947368421,7.0
19,13.3,19.3,18.3,7.0
20,13.285714285714286,19.285714285714285,18.285714285714285,7.0
21,13.272727272727273,19.272727272727273,18.272727272727273,7.0
22,13.26086956521739,19.26086956521739,18.26086956521739,7.0
23,13.25,19.25,18.25,7.0
24,13.24,19.24,18.24,7.0
25,13.23076923076923,19.23076923076923,18.23076923076923,7.0
26,13.222222222222221,19.22222222222222,18.22222222222222,7.0
27,13.214285714285714,19.214285714285715,18.214285714285715,7.0
28,13.206896551724139,19.20689655172414,18.20689655172414,7.0
29,13.2,19.2,18.2,7.0
30,13.193548387096774,19.193548387096776,18.193548387096776,7.0
31,13.1875,19.1875,18.1875,7.0
32,13.181818181818182,19.181818181818183,18.181818181818183,7.0
33,13.176470588235293,19.176470588235293,18.176470588235293,7.0
34,13.17142857142857,19.17142857142857,18.17142857142857,7.0
35,13.166666666666666,19.166666666666668,18.166666666666668,7.0
36,13.162162162162161,19.16216216216216,18.16216216216216,7.0
37,13.157894736842104,19.157894736842106,18.157894736842106,7.0
38,13.153846153846153,19.153846153846153,18.153846153846153,7.0
39,13.15,19.15,18.15,7.0
40,13.146341463414634,19.146341463414632,18.146341463414632,7.0
41,13.142857142857142,19.142857142857142,18.142857142857142,7.0
42,13.13953488372093,19.13953488372093,18.13953488372093,7.0
43,13.136363636363637,19.136363636363637,18.136363636363637,7.0
44,13.133333333333333,19.133333333333333,18.133333333333333,7.0
45,13.130434782608695,19.130434782608695,18.130434782608695,7.0
46,13.127659574468085,19.127659574468087,18.127659574468087,7.0
47,13.125,19.125,18.125,7.0
48,13.122448979591837,19.122448979591837,18.122448979591837,7.0
49,13.12,19.12,18.12,7.0
50,13.117647058823529,19.11764705882353,18.11764705882353,7.0
51,13.115384615384615,19.115384615384617,18.115384615384617,7.0
52,13.11320754716981,19.11320754716981,18.11320754716981,7.0
53,13.11111111111111,19.11111111111111,18.11111111111111,7.0
54,13.10909090909091,19.10909090909091,18.10909090909091,7.0
55,13.107142857142858,19.107142857142858,18.107142857142858,7.0
56,13.105263157894736,19.105263157894736,18.105263157894736,7.0
57,13.10344827586207,19.103448275862068,18.103448275862068,7.0
58,13.101694915254237,19.10169491525424,18.10169491525424,7.0
59,13.1,19.1,18.1,7.0
60,13.098360655737705,19.098360655737704,18.098360655737704,7.0
61,13.096774193548388,19.096774193548388,18.096774193548388,7.0
62,13.095238095238095,19.095238095238095,18.095238095238095,7.0
63,13.09375,19.09375,18.09375,7.0
64,13.092307692307692,19.092307692307692,18.092307692307692,7.0
65,13.090909090909092,19.09090909090909,18.09090909090909,7.0
66,13.08955223880597,19.08955223880597,18.08955223880597,7.0
67,13.088235294117647,19.08823529411765,18.08823529411765,7.0
68,13.08695652173913,19.08695652173913,18.08695652173913,7.0
69,13.085714285714285,19.085714285714285,18.085714285714285,7.0
70,13.084507042253522,19.08450704225352,18.08450704225352,7.0
71,13.083333333333334,19.083333333333332,18.083333333333332,7.0
72,13.082191780821917,19.08219178082192,18.08219178082192,7.0
73,13.08108108108108,19.08108108108108,18.08108108108108,7.0
74,13.08,19.08,18.08,7.0
75,13.078947368421053,19.07894736842105,18.07894736842105,7.0
76,13.077922077922079,19.07792207792208,18.07792207792208,7.0
77,13.076923076923077,19.076923076923077,18.076923076923077,7.0
78,13.075949367088608,19.075949367088608,18.075949367088608,7.0
79,13.075,19.075,18.075,7.0
80,13.074074074074074,19.074074074074073,18.074074074074073,7.0
81,13.073170731707316,19.073170731707318,18.073170731707318,7.0
82,13.072289156626505,19.072289156626507,18.072289156626507,7.0
83,13.071428571428571,19.071428571428573,18.071428571428573,7.0
84,13.070588235294117,19.070588235294117,18.070588235294117,7.0
85,13.069767441860465,19.069767441860463,18.069767441860463,7.0
86,13.068965517241379,19.06896551724138,18.06896551724138,7.0
87,13.068181818181818,19.068181818181817,18.068181818181817,7.0
88,13.067415730337078,19.06741573033708,18.06741573033708,7.0
89,13.066666666666666,19.066666666666666,18.066666666666666,7.0
90,13.065934065934066,19.065934065934066,18.065934065934066,7.0
91,13.065217391304348,19.065217391304348,18.065217391304348,7.0
92,13.064516129032258,19.06451612903226,18.06451612903226,7.0
93,13.063829787234043,19.06382978723404,18.06382978723404,7.0
94,13.063157894736841,19.063157894736843,18.063157894736843,7.0
95,13.0625,19.0625,18.0625,7.0
96,13.061855670103093,19.061855670103093,18.061855670103093,7.0
97,13.061224489795919,19.06122448979592,18.06122448979592,7.0
98,13.06060606060606,19.060606060606062,18.060606060606062,7.0
99,13.06,19.06,18.06,7.0
